City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
461,Itaituba,BR,75.34,scattered clouds,-4.2761,-55.9836,Hotel Campos
464,Paragominas,BR,72.41,broken clouds,-2.9667,-47.4833,INOVA
465,Muli,MV,80.71,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
466,Bengkulu,ID,80.17,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
468,Daru,PG,85.21,few clouds,-9.0763,143.2092,Daru Lodge
471,Santa Fe,AR,76.01,overcast clouds,-31.6333,-60.7,Conquistador Hotel
472,Cockburn Town,TC,81.55,clear sky,21.4612,-71.1419,Osprey Beach Hotel
473,Mansa,IN,70.56,broken clouds,29.9833,75.3833,STARiHOTEL Mansa
481,Gua Musang,MY,83.91,overcast clouds,4.8823,101.9644,Mines Inn Hotel
483,San-Pedro,CI,76.28,light rain,4.7485,-6.6363,Hotel Maria
484,Tautira,PF,77.43,light rain,-17.7333,-149.15,Pension Oaoa
489,Taoudenni,ML,72.23,clear sky,22.6783,-3.9836,
491,Palm Bay,US,77.05,heavy intensity rain,28.0345,-80.5887,Port d'Hiver Bed and Breakfast
493,Cowra,AU,74.68,scattered clouds,-33.8333,148.6833,Cowra Motor Inn
494,Gogrial,SS,74.37,overcast clouds,8.5332,28.1004,
501,Angoche,MZ,75.24,scattered clouds,-16.2325,39.9086,Guest House HESADA
504,Chake Chake,TZ,76.12,scattered clouds,-5.2459,39.7666,Pemba Sea View Hotel
507,Harper,LR,77.4,scattered clouds,4.375,-7.7169,Screensaver
508,Katubao,PH,87.78,overcast clouds,5.8892,124.8294,IML Ecopark
509,Launceston,AU,75.61,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
511,Trairi,BR,77.41,overcast clouds,-3.2778,-39.2689,janelas do mar
516,Dubbo,AU,77.13,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
524,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
528,Ahipara,NZ,70.09,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
529,Ko Samui,TH,87.71,few clouds,9.5357,99.9357,The Passage
532,Tecoanapa,MX,78.87,clear sky,16.5167,-98.75,Hotel Manglares
534,Biak,ID,83.73,overcast clouds,-0.9131,122.8766,Penginapan Kim
540,Oriximina,BR,75.78,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
541,Abeokuta,NG,74.52,broken clouds,7.15,3.35,Park Inn by Radisson
542,San Matias,BO,78.3,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
544,Brejo Santo,BR,79.03,overcast clouds,-7.4933,-38.9872,Hotel Flor de Lis
546,Sibu,MY,80.91,few clouds,2.3,111.8167,RH HOTEL (4 Star)
552,Phan Thiet,VN,85.66,overcast clouds,10.9333,108.1,Hotel Saigon-PT
554,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
555,Aboso,GH,72.88,overcast clouds,5.3617,-1.9473,New Atuabo
556,Umm Lajj,SA,71.92,clear sky,25.0213,37.2685,Moon light Furnished Units
557,Along,IN,71.62,clear sky,28.1667,94.7667,Hotel West
558,Ampanihy,MG,73.38,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
561,Emerald,AU,80.35,overcast clouds,-23.5333,148.1667,Emerald Inn
563,Kiama,AU,76.37,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
564,Srikakulam,IN,77.45,few clouds,18.3,83.9,Micro Systems
570,Mangan,IN,70.84,clear sky,27.5167,88.5333,Hotel Mout View
571,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
572,Kolda,SN,72.07,clear sky,12.8833,-14.95,Hôtel Hobbe Chasse
574,Tumut,AU,72.66,broken clouds,-35.3,148.2167,Amaroo Motel
575,Esperance,AU,71.67,overcast clouds,-33.8667,121.9,Hospitality Esperance
576,Atar,MR,76.64,clear sky,20.5169,-13.0499,Oumou Elghoura
577,Roatan,HN,78.08,scattered clouds,16.3244,-86.5366,Hotel Henry Morgan
578,Carutapera,BR,74.46,clear sky,-1.195,-46.02,Lidera
579,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
580,Falefa,WS,85.89,light rain,-13.887,-171.588,Leuaina Beach Resort
581,Puerto Escondido,MX,78.39,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
587,Bontang,ID,81.77,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
588,Midwest City,US,71.71,clear sky,35.4495,-97.3967,Hampton Inn Oklahoma City-I-40 E. (Tinker Air Force Base)
590,Beloha,MG,73.31,clear sky,-25.1667,45.05,
591,Puerto Colombia,CO,75.29,light rain,10.9878,-74.9547,Hotel El Emigrante
592,Crixas,BR,72.9,few clouds,-14.5489,-49.9692,RISO HOTEL
594,Muncar,ID,85.98,broken clouds,-8.4333,114.3333,Zaky Homestay
597,Tabou,CI,77.27,few clouds,4.423,-7.3528,hotêl doufoulougou
603,Sao Gabriel Da Cachoeira,BR,73.18,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
604,Nishihara,JP,74.48,overcast clouds,26.1842,127.7558,Minshuku Agaihama
605,Bairnsdale,AU,82.06,overcast clouds,-37.8333,147.6167,Town Central Motel
608,Sola,VU,81.99,scattered clouds,-13.8833,167.55,Leumerus Bungalows
612,Le Vauclin,MQ,80.85,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
614,Shimoda,JP,70.16,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
615,Galveston,US,73.99,few clouds,29.3669,-94.9669,Crystal Suites
616,Kranuan,TH,81.16,overcast clouds,16.7067,103.0788,หอพักพรวิมล
617,Dingle,PH,85.23,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
618,Caico,BR,79.99,overcast clouds,-6.4583,-37.0978,Pousada Paraíso do Seridó
620,Brownsville,US,75.2,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
622,Kouango,CF,70.38,light rain,4.9934,19.9619,
626,Flinders,AU,76.17,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
630,Sinnamary,GF,78.21,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
632,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
633,Dwarka,IN,80.04,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
640,Port Augusta,AU,85.28,clear sky,-32.5,137.7667,Majestic Oasis Apartments
642,Qandala,SO,79.81,clear sky,11.472,49.8728,
645,Kiunga,PG,81.68,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
646,Labuan,MY,84.56,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
647,Ipora,BR,71.74,few clouds,-16.4419,-51.1178,Oásis Motel
648,Codajas,BR,74.75,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
652,Cisarua,ID,72.79,light rain,-6.6527,106.471,Rumah' sanip
653,Quelimane,MZ,76.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
654,Madras,IN,78.78,light intensity drizzle,13.0878,80.2785,"Taj Connemara, Chennai"
657,Alta Floresta,BR,77.85,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
658,Takoradi,GH,77.97,broken clouds,4.8845,-1.7554,Raybow International Hotel
662,Nilokheri,IN,70.36,broken clouds,29.8333,76.9167,Guru. Nanak K Store
666,Gunjur,GM,75.27,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
667,Batemans Bay,AU,70.11,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
668,Sulangan,PH,83.35,broken clouds,11.1373,123.7228,Maia's Beach Resort
669,Tuy Hoa,VN,79.61,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
670,Kismayo,SO,77.68,broken clouds,-0.3582,42.5454,Agan-Hotel
672,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
673,Anjiang,CN,82.78,clear sky,27.3194,110.1031,Dahua Hotel
677,Dicabisagan,PH,85.42,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
678,Caravelas,BR,73.08,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
680,Angoram,PG,86.27,broken clouds,-4.0625,144.0661,
683,Jalor,IN,76.75,clear sky,25.35,72.6167,Hotel Mansarovar
684,Buchanan,LR,76.44,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
687,Hukuntsi,BW,71.64,scattered clouds,-24.0,21.75,Its me guest house
690,Cayenne,GF,75.24,light rain,4.9333,-52.3333,Hôtel Le Dronmi
696,Grand-Lahou,CI,76.64,moderate rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
